Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-02,USD,Marketplace,13537.12,887.48,-1774.04,0.00,0.00,-142.60,-176.95,0.00,176.95,0.00,-252.19,0.00,12255.77,13394.52,0.00,487909572,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.07,71.07,0.00,0.00,487909572,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-26,USD,Marketplace,14214.07,912.77,-1827.05,0.00,0.00,-436.18,-127.36,0.00,127.36,0.00,-192.88,0.00,12670.73,13777.89,0.00,486135580,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-26,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.62,64.62,0.00,0.00,486135580,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-19,USD,Marketplace,12924.53,845.34,-1686.38,0.00,0.00,-165.37,-212.21,0.00,212.21,0.00,-209.70,0.00,11708.42,12759.16,0.00,484367433,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-19,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.44,61.44,0.00,0.00,484367433,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-12,USD,Marketplace,12287.47,792.68,-1583.12,0.00,0.00,-330.78,-187.40,0.00,187.40,0.00,-147.86,0.00,11025.58,11963.88,0.00,482616207,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-05-12,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.55,67.55,0.00,0.00,482616207,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-09-08,USD,Marketplace,2875.38,174.92,-341.50,0.00,-21.78,-235.03,-20.00,0.00,20.00,0.00,-11.00,0.00,2440.99,2640.35,0.00,512664645,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-09-08,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.94,30.94,0.00,0.00,512664645,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-09-01,USD,Marketplace,6389.18,377.88,-736.12,0.00,-22.77,-684.38,-38.37,0.00,38.37,0.00,-53.91,0.00,5269.88,5704.80,0.00,510891475,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-09-01,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.18,29.18,0.00,0.00,510891475,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-25,USD,Marketplace,5755.37,333.25,-657.46,0.00,-26.73,-724.49,-24.39,0.00,24.39,0.00,-53.47,0.00,4626.47,5030.88,0.00,509135018,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-25,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.79,37.79,0.00,0.00,509135018,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-18,USD,Marketplace,7470.49,434.10,-851.08,0.00,-36.63,-917.61,-15.61,0.00,15.61,0.00,-133.41,0.00,5965.86,6552.88,0.00,507361510,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.93,31.93,0.00,0.00,507361510,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-11,USD,Marketplace,6521.54,399.17,-775.33,0.00,-86.13,-496.41,-22.98,0.00,22.98,0.00,-136.65,0.00,5426.19,6025.13,0.00,505619795,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-11,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.46,33.46,0.00,0.00,505619795,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-04,USD,Marketplace,6718.34,390.75,-768.46,0.00,-305.17,-820.72,-37.91,0.00,112.77,0.00,-247.98,0.00,5041.62,5897.62,0.00,503851200,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-08-04,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.25,39.25,0.00,0.00,503851200,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-28,USD,Marketplace,7761.69,454.87,-878.72,0.00,-162.36,-895.78,-22.26,0.00,22.26,0.00,-151.52,0.00,6128.18,6865.48,0.00,502061591,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.83,37.83,0.00,0.00,502061591,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-21,USD,Marketplace,7622.44,473.18,-928.31,0.00,-20.79,-479.38,-41.29,0.00,41.29,0.00,-177.52,0.00,6489.62,7143.06,0.00,500280888,PAID
