Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1263.29,52,52,24.29,166.85,7.19,34.82,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (12008-CROSS KEYS),946236,5579,12008,459.29,23,23,19.97,60.69,7.19,33.83,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1663.90,73,73,22.79,210.36,63.50,332.46,3.00,19.98,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (18170-NO WOODBURY),946241,5579,18170,1248.69,53,53,23.56,159.47,7.79,30.72,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (18576-WINSLOW),946252,5579,18576,1139.25,52,51,21.91,158.34,35.95,193.99,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1246.36,56,56,22.26,152.63,7.19,65.36,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,463.94,20,20,23.20,56.71,7.19,29.77,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (2401-TURNERSVILLE),946258,5579,2401,389.57,17,17,22.92,50.44,7.19,19.16,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (4592-OCEAN CITY),659406,5579,4592,515.81,19,19,27.15,62.22,7.79,69.31,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1642.38,79,79,20.79,213.15,14.38,46.12,3.00,21.48,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (12008-CROSS KEYS),946236,5579,12008,1519.58,70,70,21.71,185.64,107.85,400.51,3.00,30.78,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1742.52,78,78,22.34,205.79,169.58,754.18,6.00,47.81,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (18170-NO WOODBURY),946241,5579,18170,1357.36,62,62,21.89,169.96,50.33,189.43,6.00,40.30,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (18576-WINSLOW),946252,5579,18576,1750.70,77,76,22.74,227.45,146.96,574.11,3.00,23.33,USD
Day of 2024-09-01,2024-09-01,2024-09-01,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1112.60,54,54,20.60,129.38,86.88,267.26,3.00,14.89,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,758.26,29,29,26.15,88.55,27.56,139.84,0.00,0.00,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (2401-TURNERSVILLE),946258,5579,2401,564.22,25,25,22.57,72.08,21.57,70.78,0.00,0.00,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (4592-OCEAN CITY),659406,5579,4592,689.39,18,18,38.30,82.45,22.17,180.91,0.00,0.00,USD
Day of 2024-09-01,2024-09-01,2024-09-01,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1942.88,90,89,21.59,240.48,136.61,542.90,6.00,58.72,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (12008-CROSS KEYS),946236,5579,12008,952.34,41,41,23.23,120.27,50.33,153.88,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2085.09,103,101,20.24,234.80,260.76,1031.57,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (18170-NO WOODBURY),946241,5579,18170,1108.08,56,56,19.79,128.53,100.66,354.74,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (18576-WINSLOW),946252,5579,18576,1669.54,79,79,21.13,211.94,129.42,453.00,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1333.47,57,57,23.39,157.54,86.28,292.69,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,415.10,22,22,18.87,46.91,29.36,110.60,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (2401-TURNERSVILLE),946258,5579,2401,366.08,19,19,19.27,43.95,21.57,59.80,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (4592-OCEAN CITY),659406,5579,4592,705.97,30,30,23.53,82.11,35.95,121.49,0.00,0.00,USD
Day of 2024-08-31,2024-08-31,2024-08-31,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1400.29,55,55,25.46,174.23,71.90,289.37,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (12008-CROSS KEYS),946236,5579,12008,780.60,35,35,22.30,95.87,43.14,203.36,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2026.76,97,96,20.89,238.51,215.56,867.77,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (18170-NO WOODBURY),946241,5579,18170,1875.75,77,77,24.36,216.17,115.04,499.11,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (18576-WINSLOW),946252,5579,18576,1556.94,76,76,20.49,196.81,148.13,533.71,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1167.36,51,51,22.89,138.01,86.28,363.04,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,807.63,32,31,25.24,97.37,55.99,233.59,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (2401-TURNERSVILLE),946258,5579,2401,619.54,29,29,21.36,69.49,64.71,205.10,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (4592-OCEAN CITY),659406,5579,4592,650.45,28,28,23.23,78.91,21.57,75.39,0.00,0.00,USD
Day of 2024-08-30,2024-08-30,2024-08-30,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1834.52,83,83,22.10,220.24,136.61,538.72,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (12008-CROSS KEYS),946236,5579,12008,637.40,34,34,18.75,72.44,79.09,248.27,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2081.42,92,91,22.62,235.44,264.46,1076.21,3.00,18.47,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (18170-NO WOODBURY),946241,5579,18170,1276.44,63,62,20.26,147.99,115.04,433.64,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (18576-WINSLOW),946252,5579,18576,922.37,43,43,21.45,115.32,87.88,411.86,3.00,16.49,USD
Day of 2024-08-29,2024-08-29,2024-08-29,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1213.20,61,60,19.89,139.10,87.48,360.81,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,492.93,20,20,24.65,55.74,43.14,147.97,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (2401-TURNERSVILLE),946258,5579,2401,604.54,29,29,20.85,74.41,28.76,111.62,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (4592-OCEAN CITY),659406,5579,4592,584.24,25,25,23.37,64.17,58.12,261.61,0.00,0.00,USD
Day of 2024-08-29,2024-08-29,2024-08-29,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1645.67,80,80,20.57,200.85,115.64,428.62,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (12008-CROSS KEYS),946236,5579,12008,649.10,31,31,20.94,82.07,35.95,134.23,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1353.77,70,70,19.34,155.81,154.92,614.50,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (18170-NO WOODBURY),946241,5579,18170,1079.03,52,52,20.75,127.28,86.88,331.44,3.00,8.09,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (18576-WINSLOW),946252,5579,18576,1926.57,87,87,22.14,252.34,151.72,673.37,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,873.11,43,43,20.30,99.67,86.28,307.67,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,540.98,22,22,24.59,67.69,35.95,117.00,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (2401-TURNERSVILLE),946258,5579,2401,658.13,30,30,21.94,80.93,43.14,144.16,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (4592-OCEAN CITY),659406,5579,4592,574.14,28,28,20.51,67.62,43.14,189.38,0.00,0.00,USD
Day of 2024-08-28,2024-08-28,2024-08-28,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1858.83,78,78,23.83,229.65,122.83,522.78,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (12008-CROSS KEYS),946236,5579,12008,620.23,33,33,18.79,73.68,50.33,200.82,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1796.36,87,86,20.65,210.74,210.12,785.22,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (18170-NO WOODBURY),946241,5579,18170,896.94,44,44,20.39,107.29,71.90,277.81,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (18576-WINSLOW),946252,5579,18576,939.34,51,51,18.42,116.96,89.15,333.92,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,813.99,46,46,17.70,95.73,43.74,146.39,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,492.82,23,23,21.43,56.04,49.13,224.11,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (2401-TURNERSVILLE),946258,5579,2401,658.84,29,29,22.72,74.66,79.09,315.19,0.00,0.00,USD
