Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2024-09-01 21:25:57.605732,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,68a0e8d3-bc7e-3001-971b-e02b010cfecc,10891207595,010CFECC,ddaa5d09-6df2-4439-a909-7427150833af,ddaa5d09-6df2-4439-a909-7427150833af,Marketplace,"1 10 pc. Chicken McNuggets® Meal incorrect
1 McCrispy™ Meal incorrect",-23.86,NULL
2024-09-01 15:54:43.811879,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,c5cc7b36-fb93-3001-9d58-8191e839f8b0,10887824039,E839F8B0,cd4625ce-76ae-47ad-81f6-f2ba500b41bd,cd4625ce-76ae-47ad-81f6-f2ba500b41bd,Marketplace,"1 French Fries missing
1 McChicken® missing",-4.28,NULL
2024-09-01 09:56:54.607681,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,95e3dc5a-d111-3001-a804-72d78f91fb99,10885499431,8F91FB99,475f053a-d34d-4217-9e25-2942a145dc7b,475f053a-d34d-4217-9e25-2942a145dc7b,Marketplace,"1 Diet Coke® missing
1 Diet Coke® missing
1 Hash Browns missing
1 Sausage & Egg McMuffin® missing
1 Sausage Biscuit missing",-14.43,NULL
2024-08-31 23:35:12.454743,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,c6abce05-2385-3001-9790-ef0ab94aa102,10883674727,B94AA102,e12b1e67-5e7b-4d23-8f5d-de8602f69cb1,e12b1e67-5e7b-4d23-8f5d-de8602f69cb1,Marketplace,1 Double Cheeseburger Meal missing,-6.55,NULL
2024-08-31 18:16:06.104239,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,2b0f4f51-518b-3001-9c23-4d0cfaa9b529,10880052037,FAA9B529,897beece-a4db-4392-a639-cf177047950a,897beece-a4db-4392-a639-cf177047950a,Marketplace,1 Classic Cheeseburger Pack  missing,-4.71,NULL
2024-08-31 17:44:11.790615,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,c4756c4f-e1f1-3001-a10a-0331c6efea7d,10879712813,C6EFEA7D,114ecc82-5776-4004-bd92-84ef74acd6b6,114ecc82-5776-4004-bd92-84ef74acd6b6,Marketplace,1 Mocha Frappe missing,-1.56,NULL
2024-08-31 15:29:05.299295,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,75d9d3c5-f601-3001-815e-43bc021634df,10878457189,021634DF,5ec9d66f-22b4-4cca-9f01-1138f53b5db1,5ec9d66f-22b4-4cca-9f01-1138f53b5db1,Marketplace,"1 Apple Pie missing
1 Double Cheeseburger missing",-7.03,NULL
2024-08-31 14:30:06.876281,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,f43e86f5-d965-3001-b85e-d6db0a9cc100,10877946224,0A9CC100,73e102fa-ade9-4bf5-aea2-b4b5e1f9ae06,73e102fa-ade9-4bf5-aea2-b4b5e1f9ae06,Marketplace,"1 Coke® missing
1 Hi-C® Orange missing",-3.66,NULL
2024-08-31 13:40:21.823545,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,54ab2f26-941a-3001-b88c-e337498cbf06,10877529546,498CBF06,0625de2c-d3c1-4115-b78a-9f4321fe7ca1,0625de2c-d3c1-4115-b78a-9f4321fe7ca1,Marketplace,1 2 Cheeseburger Meal missing,-10.82,NULL
2024-08-31 12:35:58.642334,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,f2b17d8c-cfa2-3001-8edf-06f38741623f,10877005240,8741623F,b5d4811a-4f9a-4360-afc8-43fe4f94cb63,b5d4811a-4f9a-4360-afc8-43fe4f94cb63,Marketplace,1 10 pc. Chicken McNuggets® Meal missing,-2.94,NULL
