Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2024-05-17,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,35.61,5.79,0.00,0.00,0.00,0.00,0.00,35.61,6.15,0,1,1,0,1,1
2024-05-18,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,132.41,23.16,0.00,0.00,0.00,0.00,0.00,33.10,5.72,0,3,3,0,3,3
2024-05-18,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,7,168.99,40.53,0.00,0.00,0.00,0.00,0.00,24.14,4.17,0,7,7,0,4,4
2024-05-19,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,9,250.44,52.11,0.00,0.00,0.00,0.00,0.00,27.83,4.81,0,9,9,0,7,7
2024-05-20,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,24.57,5.79,0.00,0.00,0.00,0.00,0.00,24.57,4.24,0,1,1,0,0,0
2024-05-20,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,18.36,5.79,0.00,0.00,0.00,0.00,0.00,18.36,3.17,0,1,1,0,0,0
2024-05-21,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,82.52,14.38,0.00,0.00,0.00,0.00,0.00,41.26,5.74,0,0,2,0,0,1
2024-05-23,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,62.83,7.79,0.00,0.00,0.00,0.00,0.00,62.83,8.07,1,0,1,1,0,1
2024-05-24,false,5fd4397a-40cb-4d68-9708-f56a25743923,mcd-freenuggets15-052424-052724-allcx,Custom campaign,2024-05-24,2024-05-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,14,363.53,100.66,0.00,0.00,0.00,0.00,0.00,25.97,3.61,1,13,14,0,0,0
2024-05-24,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,24.67,7.19,0.00,0.00,0.00,0.00,0.00,24.67,3.43,0,0,1,0,0,1
